id,FalseSent,OptionA,OptionB,OptionC
59,he turns on the light to listen to music,light does not broadcasting music,he finds it dark inside the room,light spreads faster than sound
62,people put on summer dresses when winter comes,summer dresses are too cold to wear in winter,people love wearing summer dresses,it is getting warmer in winter
144,the Taj Mahal is made of white maples,maple trees can be found near the Taj Mahal,maple trees are good materials for buildings,the Taj Mahal is not a wooden building
175,Mary adds some detergent to her bread,Mary enjoys having bread for meals,detergent is not eatable,Mary's bread is too dirty to eat
207,Billy rides an ant to cross the bridge,an ant is too small for a person to ride,an ant is too slow for a person to ride,an ant cannot be ridden unless trained properly
213,Fitz uses a pen to open the lock,Fitz breaks the pen while opening the lock,the pen is too short to open the lock,pens are not for opening locks
224,The man in black cured him with a bullet,a bullet is used to cure someone from death,a bullet is used to shoot someone to death,he traded the cure with the man for a bullet
241,Eric stalled for a while so we ended up early,we were already late before Eric stalled,Eric is used to stalling,stalling usually results in being late
242,Mark called his friends with his pencil,Mark used his pencil to write down telephone numbers of his friends,calling with pencils are too slow,pencils are not used for communicating
243,My friend is cooking a meal on a stone,the stone is too hard to be used for cooking meals,the stone is too cold to be used for cooking meals,a stone cannot be used for heating
244,Riko made a cup of banana milkshake with apples and milk,"making banana milkshake needs bananas, not apples","making banana milkshake needs milk, not bananas","making banana milkshake needs shaking, not apples"
245,My mother was preparing dinner when I woke up in the morning,you eat dinner in the evening,she was too busy to prepare dinner in the morning,I prefer dinner than breakfast in the morning
246,Mike drank too much wine so he feels sober now,drinking too much wine will usually make people vomiting and sober,drinking too much wine will usually not make people sober,Mike is not good at drinking wine so he feels sober
247,My mother went to an artist to check her teeth,the artist was having a toothache,an artist usually cannot treat teeth disease,the artist was working on artworks related to teeth health
248,Mike cried after hearing an interesting joke,jokes will make people happy instead of sad,jokes will usually make interesting people burst into tears,Mike felt offended hearing that interesting joke
249,She sharpened the pencil with an eraser,the eraser is very sharp and cannot be used to sharpen the pencil,erasers are not for sharpening pencils,she bought a pencil with an eraser
250,Being involved in a car accident can ease your life,car accidents will make your life harder,driving a car without being involved in accidents is easy,solving car accidents can be easy
251,It is dark outside because it is ten am,it is cold outside in the morning,it is bright outside in the morning,it is dark outside in the evening
252,Harry was relaxed because of the nightmare,he had a nightmare while he was relaxing himself,the nightmare is not terrified enough for Harry,having nightmares usually will not make people relaxed
253,Astrid kissed him out of pure hatred,she hated him after kissing him,kissing someone will usually not make people hate each other,people don't kiss someone they hate
254,His son took the school bus to go to work,school buses are not available during weekends,his son prefers school bus to taxi,school buses usually bring children back and forth to school
255,Throwing stones at cats is treating them nicely,hurting animals is not a nice behavior,hurting stray cats is acceptable,cats can protect themselves from being hurt by stones
256,Society demands reward for criminals,rewarding criminals will only make them more savage,it's acceptable to give rewards to some good crimicals,the act of catching criminals should be rewarded
257,He saw a car floating at sea,The car is a means of transport on land,The car is made of iron,The car is too expensive
258,People can buy potatoes at a fruit shop,Potatoes are not sold to ordinary people,Potatoes are not fruits,Potatoes are disgusting
259,I should take off my underpants when swimming,One man should never take off his underpants,Taking off trousers is enough when swimming,One man should not take off anything when swimming
260,My son needs bra after growing up,Boys hate the bra,Boys do not need a bra,the Bra is not important for everyone
261,I choked on water,Water is liquid,Water is easy to disgust,Human do not drink water
262,If you feel cool you may sweat,sweat makes human feel cool,sweat freezes when it is cold,sweat helps human radiate heat when needed
263,I go to school for playing the computer game,playing the computer game is boring,There is no computer game in the school,The purpose of going to school is to learn
264,I slipped on a rock,a rock is too big,a rock is not smooth,a rock is conspicuous
265,I study eight days a week,a week only has 7 days,I rest on weekends,I am not so hard
266,I see a mute chatting with my son,a mute can not listen,my son can not listen,a mute can not speak
267,a deaf person took part in a concert,a deaf person does not have elegant taste,a deaf person can't listen,a deaf person is not admitted to concerts
268,I see a cripple running,a cripple can not use legs in a normal way,a cripple lives at sea,a cripple has no leg
269,I saw an egg walk on the road,an egg has no leg,an egg only can fly,an egg can only be eaten
270,a dog is probable to beat a tiger,a tiger is invincible,a dog won't meet a tiger,a dog is weaker than a tiger
271,I go to school with a desktop computer,a desktop computer is expensive,a desktop computer is not portable enough,a desktop computer is not admitted to a school
