id,FalseSent
59,he turns on the light to listen to music
62,people put on summer dresses when winter comes
127,the girl next to Mary in the photo is her nephew
144,the Taj Mahal is made of white maples
147,it is really painful for a father to give birth to his baby
167,the dog sits there without even a mew
173,she washes her computer with warm water
175,Mary adds some detergent to her bread
207,Billy rides an ant to cross the bridge
213,Fitz uses a pen to open the lock
215,Eric told a lie and his mother praised him
224,The man in black cured him with a bullet
241,Eric stalled for a while so we ended up early
242,Mark called his friends with his pencil
243,My friend is cooking a meal on a stone
244,Riko made a cup of banana milkshake with apples and milk
245,My mother was preparing dinner when I woke up in the morning
246,Mike drank too much wine so he feels sober now
247,My mother went to an artist to check her teeth
248,Mike cried after hearing an interesting joke
249,She sharpened the pencil with an eraser
250,Being involved in a car accident can ease your life
251,It is dark outside because it is ten am
252,Harry was relaxed because of the nightmare
253,Astrid kissed him out of pure hatred
254,His son took the school bus to go to work
255,Throwing stones at cats is treating them nicely
256,Society demands reward for criminals
257,He saw a car floating at sea
258,People can buy potatoes at a fruit shop
259,I should take off my underpants when swimming
260,My son needs bra after growing up
261,I choked on water
262,If you feel cool you may sweat
263,I go to school for playing the computer game
264,I slipped on a rock
265,I study eight days a week
266,I see a mute chatting with my son
267,a deaf person took part in a concert
268,I see a cripple running
269,I saw an egg walk on the road
270,a dog is probable to beat a tiger
271,I go to school with a desktop computer
272,now I plan to sleep so I take a coffee
273,I travel to the united states by rocket
274,we should borrow things after returning them
275,I want to have light food such as steaks
276,I like swimming in the hole
277,I want world war
278,a snowman will exist forever
279,I like his toy so I can grab it
280,patients are cured by nurses
281,flowers can help you do homework
282,we should eat more sugar to protect teeth
283,we should take the ice when we catch a cold
284,in summer people wear more clothes than in winter
285,we can skate on snow
286,we can eat dirt
287,mobile phones don't need charging
288,if we are going to be late we should walk
289,you can go to the moon by subway
290,I see a dog playing a computer
291,we have an ice ball fight in winter
292,milk is made by chicken
293,"On Mars, there have many countries"
294,A student can't learn his course
295,Someone can live who don't eat anything
296,A man can see on a dark night
297,It is always cold in July in the northern earth
298,"To get a service or good, you don't have to pay money"
299,Cancer can bring happiness to us
300,people can only feel happiness
301,Fish can live in a land without water
302,Computers can eat food
303,Everyone lives in the country
304,people are only able to be honest
305,If you want to dig a hole then you should use the spoon
306,Soldiers will be punished for bravery
307,Families should visit relatives during the workdays
308,I can hold up a car
309,Everyone is good-looking
310,many vegetables grow on the cement
311,A puzzle can be solved easily
312,a Cord can be used for treatment
313,You can take your airplane to visit Mars
314,A bus takes passengers from the sea
315,Ireland is a planet
316,A person want moldy bread
317,Oil comes from the air
318,Planes are almost made of gold
319,you can find aliens in a zoo
320,You would dance because you want to rest
321,If you want to go to work then you should pay your fees
322,I see a sheep eating a fish
323,My dad's dad is my grandma
324,Eating is an emotion between people
325,we can buy fresh fruits and vegetables from a Coffee shop
326,You are likely to find a cake in a drawer
327,most birds include penguins can fly
328,I will feel energetic after running
329,my friends play computer games in the gymnasium
330,people feel sick while kissing
331,I like climbing because I fear of heights
332,people usually eat ice cream in winter
333,we wear thin clothes in winter
334,we can only see white clouds in the air
335,I lie on a hamburger in my room
336,people usually use wood to put out a fire
337,people can harvest fruits without planting seeds
338,people will get dry while taking a shower
339,people can play the violin without learning
340,no one can learn from books
341,most of the leaves are red
342,I will celebrate the failure of the game
343,I will have a trip to a police office
344,I should study during whole night
345,I can drive after drinking
346,I saw a baby holding a woman.
347,Today I will have lunch before breakfast.
348,I can cook any food simply
349,I saw a square pizza.
350,I saw an island on land.
351,I have free access to all museums without tickets
352,We cut down trees to protect the environment
353,People like diseases.
354,My friend is my family member
355,I can use the money to buy all houses
356,a stone is an animal
357,We communicate in different languages
358,Dogs like eating grass
359,I saw a man wearing glasses of three lens
360,I will laugh if my family is dead
361,a Man should play with violent tigers
362,I will quit my job if I need money
363,I am happy because I am poor
364,I like cakes because I like salty food
365,He walks faster than the driving car.
366,today I will go to the amusement park to see elephants.
367,eating fruits and vegetables makes me fat
368,"She doesn't like flowers, so I send her roses."
369,I saw a man breathing in the water.
370,He lay under the watermelon tree
371,today I will go to my hometowns
372,My blood type is the same as everyone.
373,I drink coffee before I go to bed.
