1,An elephant is too big to fit into a fridge.
2,Stones are not edible.
3,Stars are not bought.
4,USA is located in the northeastern part of New York
5,The moon is not visible at night
6,Restaurants don't treat people for injuries.
7,getting good grades in math exam is not a bad thing
8,cans are made of metal
9,desktop is too big to fit into suitcase
10,Moon is not a place to walk.
11,There are only 24 hours in a day.
12,Water is not a food.
13,baskets are made of water
14,mountain is too big to jump across
15,Trash is not a place to put rubbish.
16,candies are sweet
17,Alcohol impairs one's thinking and development.
18,Grass is not a food.
19,computers are not found in a forest
20,radios are not used to watch radio
21,starvation is a bad thing
22,Poison is not cured by taking poisons.
23,A person cannot change their car when passing a crossroads.
24,dreams are not real
25,cola is not edible
26,feeling left out by friends is not a happy thing
27,Playing hard will not prepare for the examination.
28,People don't humiliate others.
29,Restaurants don't serve food.
30,sports stores don't sell tennis
31,Chicken is not a food.
32,short is not a word to describe an advantage
33,Rock-and-roll is not a traditional way to send a baby asleep.
34,An apple is a fruit.
35,A drum is not a phone.
36,mercury is poisonous
37,A bar of soap would not be a birthday cake.
38,plastic is not a food
39,Robots are not food.
40,drinking water is not a drink
41,Walking is not a hobby.
42,Dogs bark.
43,Globe is not a place to teach sports.
44,Funerals are a place for grieving.
45,cemetery is a place of mourning
46,Restaurants don't serve food.
47,Wool is not a food item
48,bedroom is not a place to cook
49,Cars are not allowed on the railway.
50,a drill is not edible
51,tissues are not used to keep in touch with Tom
52,Pictures are not stored on films.
53,A penknife is too small to cut wood.
54,Humans cannot travel to the moon by bus.
55,Playing with friends is a good thing and can make people happy.
56,Smartphones are not big enough to fit into a person's pocket.
57,Television sets are not meant to commemorate important days.
58,A car is too big to park in a living room.
59,Light is not used to listen to music.
60,Opening a wall would make it harder to get fresh air in.
61,Giant panda is a black and white bird found in Asia
62,Summer dress is not a winter dress.
63,smoking is bad for health
64,copper is not a safety hazard
65,Tears are not used to tear themselves apart.
66,a letter is not a writing instrument
67,A dining room is a place where people sleep.
68,Iron is too hard to break.
69,clearance is not a reason for clearance
70,A tomato is not a farm.
71,famous people are not famous
72,good cook is not a good cook
73,pond is a place where trees cannot live
74,The moon is a planet of the solar system
75,power plants don't sell gasoline
76,Cinema is not a place to listen to music.
77,Centigrade is a measure of temperature.
78,satellites are too small to be used as guidance
79,Water is not a liquid.
80,December is the 12th month of a year.
81,a prince is a male knight
82,maid is a maid
83,A lock is not used to open a door.
84,sea is a sea
85,Roosters don't lay eggs.
86,mushrooms are not grown under the sun
87,carnations are not a holiday
88,soup is not a good choice to eat with a fork
89,Fish live in water and deserts.
90,Statue of Liberty is located in New York Harbor.
91,Nissan is a car manufacturer
92,pan is not a place to store food
93,glass is not reflective
94,weekdays are not a daily occurrence
95,People don't feel sad when they are sad.
96,A closet is too big to be read.
97,Running is not a form of running.
98,ribbon is not a climbing tool
99,a storybook is not a cookbook
100,chili powder is not sweet
101,Shopping lists are not used to look up a word.
102,working is not relaxing
103,Sundays are not a day of the week
104,"Santa Claus is a real name, not a parent"
105,convenient store sells things to buy
106,people don't pay for rides
107,A teacher is not qualified to treat illness.
108,CD is not a listening device
109,You can't read a book in 3 seconds.
110,Cats are not pets.
111,no one wins the champion because he is not a runner
112,a belfry is not a wearable item
113,Planes don't have wings.
114,You can't dance in a pool.
115,houses are made of wood
116,camping is not a place to get rain
117,people usually meet at 2 o'clock in the morning
118,Ice is not a drink.
119,Apples are not edible.
120,"a bus stop is for walking, not for catching a train"
121,You can't ask questions to get a high score.
122,Human beings don't shake tails to express their happiness.
123,Butcher's don't cut hair.
124,Glass is not a liquid.
125,February is a date in the month of February.
126,You can't write diaries in a magazine.
127,nephew is a male
