1,An elephant is too big to fit into a fridge.
2,stone is not a food
3,Stars are not sold for money.
4,USA is located in the northeastern part of New York
5,The moon is not visible at night.
6,Restaurants don't have doctors or medical equipment.
7,getting good grades in math exam is not a reason for anger
8,Gold is not a material for cans
9,desktop is not a suitcase
10,The Moon is too far away to walk to.
11,24 hours a day is too long to be a full-time job
12,Water is not a food.
13,baskets are too small to hold water
14,mountain is too big to jump
15,Trash is not a thing to put in a mailbox.
16,Children love candies
17,Alcohol is not a good habit to have.
18,Grass is not a part of a salad.
19,Computers are not found in a forest.
20,radio is not a television
21,starvation is not a good thing
22,Poison is not a cure for illness.
23,Cars don't have wheels to change.
24,Dreams are not real.
25,cola is not a food
26,feeling left out by friends is not a happy thing
27,Playing hard is not a good preparation for the examination.
28,Being humiliated by someone is not a good thing.
29,Restaurants don't serve food.
30,Tennis is not a sport store
31,Chicken is not a seafood.
32,short people don't have the advantage in basketball
33,Rock-and-roll is not a musical instrument.
34,apple is a fruit
35,A drum is not a communication device.
36,mercury is poisonous
37,A birthday cake is not a bar of soap.
38,plastic is not edible
39,robot is not a food
40,drinking water is not a good way to get drunk
41,Walking is not a hobby.
42,managers greet with their team mates and begin to bark
43,A globe is not a tool to teach sports.
44,Funeral is a place for grieving.
45,Children are not allowed to visit the cemetery.
46,Restaurants don't serve food.
47,Wool is not a food.
48,Mom is not cooking a meal in the bedroom.
49,trains are not used for holidays
50,drill is not a food
51,A rolodex is not a place to store tissue.
52,Pictures are not kept on films.
53,A penknife is not sharp enough to cut wood.
54,Humans cannot travel to the moon by bus.
55,Playing with friends is a happy thing
56,Smartphones are small and portable.
57,Television sets are not used to commemorate important days.
58,Cars are parked in the garage.
59,Turning on the light will not make you listen to music.
60,A wall is not a place to breathe fresh air.
61,pandas are not black and white birds
62,Summer dress is not a winter dress
63,smoking is harmful to health
64,copper is not a conductor
65,tears are not a physical process
66,Letters are not meant to be told.
67,A dining room is a place where people eat.
68,Iron is not sharp enough to break a bare hand.
69,clearance is not a price
70,tomato is not a landowner
71,people don't usually hear of famous people
72,a good cook is someone who cooks food well
73,trees are not in the pond
74,The moon is a planet of the moon.
75,power plant is not a place to stop
76,Cinema is not a place to listen to music.
77,Acidity is a measure of temperature.
78,satellite is not a tool to help people to understand the world
79,water is not a liquid
80,December is the first month of a year.
81,A prince is a person who is not a piece of furniture.
82,A maid is a person who works in a home.
83,A lock is not used to open a door.
84,sea is not a liquid
