1,An elephant is too big to fit into a fridge.
2,stone is not food
3,stars are not for sale
4,USA is a country
5,the sun is out at night
6,Restaurants don't have doctors or medical equipment.
7,parents want their children to get good grades
8,Gold is not used in cans.
9,desktop is too big to fit in a suitcase
10,The Moon is not a place to walk.
11,There are only 24 hours in a day.
12,Water is not a food.
13,baskets are too small to hold water
14,A man cannot jump across a mountain.
15,Mailboxes are not used to store rubbish.
16,candies are sweet
17,alcohol impairs thinking
18,Grass is not a food item
19,Computers are not found in a forest.
20,radio is not a TV show
21,starvation makes you hungry
22,Poison can't cure illness
23,Cars don't change when passing a crossroads.
24,dream is not a thing to be awake
25,cola is not a food
26,feeling left out is a negative feeling
27,Playing is not necessary for the examination.
28,humiliation is not a good thing
29,Restaurants don't cook meals.
30,Sports stores don't have tennis court
31,Chicken is not a seafood.
32,short people are not good at basketball
33,rock-and-roll is not a sleep inducing music
34,Apples are not blue.
35,A drum is not a communication device.
36,mercury is poisonous
37,A bar of soap is not edible.
38,Candy is made of sugar and not plastic.
39,Robots are not edible.
40,Drinking water does not make you drunk.
41,Walking is not expensive.
42,Barking is not a sign of greeting.
43,A globe is not a teaching tool.
44,Funeral is a place for sorrow
45,Children don't go to the cemetery to have fun.
46,restaurants serve food
47,Wool is not edible.
48,Cooking is done in the kitchen.
49,Cars are not used on railways.
50,a drill is not a cooking utensil
51,A rolodex is not a tissue to keep in touch with someone.
52,Pictures can be destroyed by the sun
53,A penknife is used for cutting paper.
54,Humans can't travel to the moon by bus.
55,Playing with friends is a positive thing.
56,Smartphones are not big.
57,Television sets are not used to commemorate important days.
58,A car is too big to fit in a living room.
59,light is used to see
60,A wall is not a place to let fresh air in.
61,Pandas are white.
62,Summer dresses are too short to wear in winter.
63,smoking is bad for health
64,Copper is not a conductor
65,people don't tear themselves apart
66,You don't write letters to people you don't know.
67,people sleep in bedrooms
68,iron board is too hard to break
69,clearance is for clearance of products
70,Tomatoes are not powerful enough to destroy a farm.
71,famous people are known by many people
72,A cook does not sing.
73,trees grow in the ground
74,The moon is not a planet of the solar system.
75,power plant does not sell gasoline
76,Concerts are not screened in cinemas.
77,Centigrade is a measure of temperature
78,satellites are not used for guidance
79,fire is caused by a spark
80,December is not a leap year.
81,chess is a game not a piece
82,maid is a person who help a family
83,A lock is used to secure a door.
84,sea water is salty
85,Roosters are male and don't lay eggs.
86,mushrooms grow in the soil
87,carnations are not a kind of gifts
88,soup is not a fork
89,fishes live in water
90,The Statue of Liberty is not located in Paris.
91,Nissan is a car manufacturer
92,A pan is used for cooking food.
93,Cats don't have glass in their bodies.
94,weekdays are not a travel time
95,laughter is a sign of happiness
96,A closet is not a place to read.
97,You can't run on a bed.
98,A ribbon is not a climbing tool.
99,storybook is not a kitchen
100,chili powder is spicy
101,A shopping list is a list of items to buy.
102,working is not relaxing
103,Sunday is a holiday
104,Santa Claus is a fairy
105,convenient store sells food
106,killing the driver is not a good thing
107,a teacher does not treat illness
108,CDs are not used to listen to advertisements.
109,Books take time to read.
110,a cat is not a pet
111,champion is a person who runs fast
112,a belfry is not a watch
113,a plane is not alive
114,Amy would drown in the pool.
115,wool is not a building material
116,people don't camp in rainy weather
117,regular meeting is held at 9 a.m. in the morning
118,Ice is cold and cannot be used to heat drinks.
119,Apples are not food.
120,"A bus stop is for buses, not subway trains."
121,You don't need to ask questions when taking an exam.
122,Humans don't have tails.
123,Butcher's don't cut hair.
124,Glass is not a liquid.
125,February has only 29 days
126,diaries are not printed in a magazine
127,nephew is a male
128,Diamonds are expensive and cannot be bought as a single item.
129,Cinderella lives a miserable life before meeting the prince.
130,Music classes are in the school
131,Obama has served as President of the USA for eight years
132,children don't have the ability to fly planes
133,people need to have passport to travel abroad
134,it is very cold outside and very hot in
135,the green light means go
136,Clothes help keep people warm.
137,Donald Trump is not the Emperor of the USA.
138,A radio is not used to hear.
