1,An elephant is too big to fit in a fridge.
2,Stones are not food.
3,Stars are not money
4,USA is located in the USA
5,The moon is not visible in daytime.
6,Restaurants don't treat patients.
7,Parents are happy when their children get good grades in the math exam.
8,Gold is not used in cans.
9,A desktop is too big to fit into a suitcase.
10,The Moon is too far away to walk to.
11,24 hours a day is not enough to work 25 hours a day.
12,Water is not a food
13,baskets are not designed to hold water
14,A man cannot jump across a mountain.
15,"Mailboxes are for sending mail, not for storing rubbish."
16,Children love candy
17,Alcohol is bad for your health.
18,Grass is not a food
19,Computers are not found in a forest.
20,radio is not a movie
21,Hunger makes people sleepy.
22,Poison is not a cure
23,You can't change a car when passing a crossroads.
24,Dreams are not real.
25,cola is not a food
26,People feel sad when they feel left out.
27,Playing hard is not a way to prepare for the examination.
28,If you are humiliated you will not have good friendship with someone.
29,Restaurants don't cook meals.
30,Sports stores don't have tennis equipment.
31,Chicken is not a seafood.
32,short people have a disadvantage in basketball
33,Rock-and-roll is not a sound to send a baby to sleep.
34,Apples are not blue.
35,A drum is not a communication device.
36,mercury is toxic
37,A birthday cake is not a place to put a bar of soap.
38,Candy is made of sugar and other ingredients.
39,Soy sauce is not used to make a robot taste better.
40,Drinking water will not make you drunk.
41,Walking is a very cheap hobby.
42,Managers are not allowed to bark.
43,A globe is not a tool to teach sports.
44,Funerals are not a place for laughter.
45,Cemetery is a place where people are buried.
46,Restaurants don't have the equipment to do the dishes.
47,Wool is not edible.
48,bedroom is not a place to cook
49,Cars are not allowed on railway tracks.
50,Drill is not a cooking utensil
51,A rolodex is not a tissue.
52,pictures are not kept on films
53,A penknife is used to cut paper.
54,Humans can't travel to the moon by bus.
55,Friends are happy to play with each other.
56,Smartphones are smaller than a pen.
57,Television sets are not used to commemorate important days.
58,Cars are too big to park in a living room.
59,Lights don't play music.
60,A wall is not a place to let fresh air in.
61,Giant pandas are found in China.
62,Summer dresses are not suitable for winter.
63,Smoking is bad for health.
64,copper is not a conductor
65,tears are not a physical process
66,A letter is not a form of communication.
67,A dining room is a place where people eat.
68,Iron is too hard to be broken with a bare hand.
69,clearance is a time when prices are low
70,Tomato is not a weapon
71,People are famous when they are famous.
72,Good cook is not a singer.
73,Trees are not found in ponds.
74,The moon is not a planet.
75,Power plants don't sell gasoline.
76,Cinema is a place to watch movies.
77,acidity is a measure of acidity
78,satellites are not used for guidance
79,Water is not a fire source.
80,December is the 12th month of a year.
81,"A prince is a person, not a piece."
82,maids are not important members of families
83,A lock is used to lock a door.
84,sea water is salty
85,Rooster is a bird
86,mushrooms grow underground
87,carnations are not a Valentine's Day gift
88,Soup is not eaten with a fork.
89,Fish live in water.
90,Statue of Liberty is not located in Paris.
91,Nissan is a Japanese car manufacturer.
92,Food is stored in the fridge.
93,glass is not reflective
94,People don't travel on weekdays.
95,Laughing is a sign of happiness.
96,A closet is not a place to read.
97,You can't run on a bed.
98,ribbon is not a means of climbing
99,A storybook is not a cooking utensil.
100,chili powder is spicy
101,Shopping list is not a word.
102,Working is not relaxing.
103,Sundays are not a working day.
104,Santa Claus is a fictional character.
105,Convenient stores sell things to people.
106,a driver is not a person to be thanked for a free ride
107,Teachers don't treat sick people.
108,CD is not a medium to listen to advertisements.
109,3 seconds is not enough time to read a book.
110,A cat is not a pet.
111,no one can run faster than him
112,A belfry is not a device to be worn.
113,A plane does not have wings.
114,People don't dance in pools.
115,Wool is not a building material.
116,camping is not a way to get rain.
117,The regular meeting is held at noon.
118,Ice is cold and cannot be used to cool a drink.
119,Apples are not a food.
120,A subway train is too large to fit in a bus stop.
121,questions are not used to get high scores
122,Humans don't shake tails to express their happiness.
123,butcher's don't cut hair
124,glass is not a liquid
125,February is a leap year.
126,Diaries are written in a diary.
127,nephews are not related to Mary
128,Diamonds are not sold in dollars.
129,"Cinderella is a princess, not a prince."
130,Gym is not a place to take music classes.
131,Obama is a US citizen.
132,Children don't have the ability to fly planes.
133,You can't drive abroad without a license.
134,It is cold and very hot outside.
135,Green light means go
136,People don't take off clothes when they feel cold.
137,Donald Trump is the President of the USA.
138,A radio is not a tool to be used to hear.
139,vandalizing cultural heritages is not a good thing
140,A toy is not a shell.
141,mansion is not a place to live
142,she is the first in the competition
143,Air-raid shelters are used to protect people from bombs.
144,Taj Mahal is a place where people can see the sun.
145,c++ is a programming language
146,Stephen Hawking was a scientist and not an actor.
147,fathers are not born to give birth to their babies.
148,people sleep in a hotel while camping in the forest
149,mp3 player is not a water
150,Mongolia is a landlocked country.
151,clothes are not worn to protect eyesight
152,Socks are not used to prevent bike theft.
153,Cooks don't treat patients.
154,Titanic struck a iceberg and sank
155,Cola is not a paint
156,People don't write to each other.
157,A lemon tastes sweet when it is fresh.
158,Pumpkins are not used for transportation.
159,carpet is not sharp enough to cut a person
160,pencils are not sharp enough to cut paper cuts
161,Ice is cold and cannot be burned.
162,Chocolates are not used to break up.
163,Scarf is not a protective item.
164,CD is a media and cannot be used to pick up people.
165,March is not a month.
166,noodles are not a running surface
167,Dogs don't mew.
168,Walls are too solid to walk through.
169,chair is not a vehicle
170,Dew is not a writing material.
171,rabbits are herbivores
172,the lake will be frozen in winter
173,Computers are not water.
174,Chopsticks are not sharp enough to cut cloth.
175,Detergent is not used to add to bread.
176,You can't prepare for a trip.
177,purple light is not a color to walk
178,Chopsticks are used for eating.
179,Knitting wool is not a cat.
180,Headphones are not used to take selfies.
181,boyfriends are not bought by people.
182,Failure is not a reason to be excited.
183,Museums are not equipped to clean clothes.
184,Chocolate is not a form of payment.
185,oranges are not used to make fries
186,Mars is too hot for human beings to survive.
187,A basketball is too heavy to be thrown into a basket.
188,Seawater is not a liquid.
189,Sea is not a place to run.
190,People don't look good when they hurt their fingers.
191,fresh air is not a cause of coughing
192,Lions are carnivores and don't eat grass.
193,You can't graduate from college at the age of 3.
194,Bears don't hibernate.
195,Bathrooms are not a place to repletion.
196,You can't breathe underwater.
197,Dogs don't eat blood.
198,Banks don't have doctors or nurses.
199,You can learn words before you learn basic words.
200,Kites are not made of wind.
201,"Christmas Eve is a holiday, not a fight."
202,A tea bag is not a cup of coffee.
203,Friends are people you have known for a long time.
204,Eating more will make you gain weight.
205,You can't walk out of a classroom.
206,A washing machine is used to wash clothes.
207,Ants are too small to ride.
208,A raft is too heavy to be carried up a waterfall.
209,A broom is too big to fit in a mouth.
210,Closing your mouth against bright light will make you blind.
211,Heart beats faster when you quicken your pace.
212,Dogs are not basketball players.
213,Pens are used to write not to open locks.
214,cold water is not a cure for stomachache
215,A lie is not something that is praised.
216,Cars are too small to sit in.
217,Opening the window of an airplane will make it more likely that the air will be stale.
218,Birthday cakes are not a celebration.
219,The solar system is not located in Earth.
220,People smile at others to show their happiness.
221,The sky is not purple.
222,Pet stores don't sell hot dogs.
223,You don't need to dry your hair before using shampoo.
224,Bullets are not used to cure people.
225,Eggs are solid and cannot turn into liquid.
226,A book is not a living thing to bite.
227,Turning off the light will make the book darker.
228,Atlantic is the largest ocean in the world
229,Cats don't sit on blankets.
230,A steel cup is too heavy to break.
231,Humans can't run without electricity.
232,hamburgers are not healthy
233,Campfires are hot and can burn people.
234,Boredom is not a reason to concentrate.
235,Colds are not funny.
236,cherry pies are sweet
237,A cat is not a headwear.
238,Barbershops don't repair glasses.
239,A person cannot sleep on a window.
240,A desk is too big to be on a lamp.
241,Stalling is not a good thing.
242,Pencils are not used to make calls.
243,Stone is not a cooking utensil
244,Banana milkshake is made with bananas.
245,You don't wake up in the morning.
246,Drinking wine will make you drunk.
247,Artists don't check teeth.
248,People laugh when they are laughing.
249,eraser is used to erase the pencil
250,Car accidents are very dangerous and can cause death.
251,It is bright outside because it is ten o'clock.
252,Nightmares make people feel scared and uncomfortable.
253,Astrid is a person and she would never kiss someone out of hatred.
254,A school bus is not a vehicle to go to work.
255,Cats are not pets and are not to be thrown.
256,Criminals are punished by society.
257,Cars are too heavy to float on water.
258,"Fruit shops sell fruit, not potatoes."
259,Underpants are not used to swim.
260,A bra is not something that a child needs.
261,Water is not a choking hazard.
262,Sweating is a sign of being hot.
263,Playing computer games is not a requirement for going to school.
